Date,Open,High,Low,Close,Volume
2019/5/30,17360,17460,17220,17420,6183379
2019/5/31,17190,17250,16840,16850,9325449
2019/6/3,16420,16620,16400,16520,5928243
2019/6/4,16600,16650,16370,16550,4553958
2019/6/5,17100,17190,17010,17150,5081460
2019/6/6,17110,17260,17100,17160,3937201
2019/6/7,17310,17370,17210,17360,3726428
2019/6/10,17720,17790,17640,17730,5024022
2019/6/11,17670,17900,17630,17870,4224554
2019/6/12,17770,17950,17730,17770,3631364
2019/6/13,17620,17710,17400,17540,5397125
2019/6/14,17590,17710,17480,17700,3880829
2019/6/17,17650,17830,17600,17740,3121599
2019/6/18,17690,17770,17380,17450,4168333
2019/6/19,17990,18100,17950,18090,5338628
2019/6/20,18220,18330,18130,18290,5539875
2019/6/21,18330,18340,17860,17920,5977043
2019/6/24,17870,18040,17810,17980,3637091
2019/6/25,17900,18030,17680,17810,4208916
2019/6/26,17670,17770,17610,17680,3251841
2019/6/27,17790,18090,17750,18090,4396279
2019/6/28,18010,18080,17890,17970,3856310
2019/7/1,18640,18820,18480,18810,7560330
2019/7/2,18710,18860,18690,18780,5151588
2019/7/3,18710,18720,18480,18570,4552046
2019/7/4,18760,18800,18680,18690,2735556
2019/7/5,18710,18770,18620,18750,3131570
2019/7/8,18650,18650,18370,18430,5141630
2019/7/9,18540,18690,18390,18440,5066742
2019/7/10,18420,18550,18400,18490,3184906
2019/7/11,18480,18630,18430,18620,3714601
2019/7/12,18730,18730,18530,18670,4436082
2019/7/16,18610,18630,18400,18440,3949433
2019/7/17,18360,18360,18180,18330,3421317
2019/7/18,18090,18110,17500,17560,7761788
2019/7/19,17770,18310,17710,18290,7164496
2019/7/22,18160,18260,18040,18160,3855007
2019/7/23,18230,18660,18190,18550,5931786
2019/7/24,18750,18760,18650,18660,3554797
2019/7/25,18830,18900,18770,18810,4462775
2019/7/26,18650,18710,18500,18600,3350622
2019/7/29,18600,18610,18380,18500,3669792
2019/7/30,18650,18850,18620,18680,5539464
2019/7/31,18400,18500,18300,18410,5652460
2019/8/1,18100,18450,17990,18390,6394859
2019/8/2,17650,17800,17420,17630,12192589
2019/8/5,17360,17400,16690,17010,11976936
2019/8/6,16010,16830,15990,16770,17318053
2019/8/7,16740,16770,16490,16660,8452100
2019/8/8,16700,16950,16580,16840,7076180
2019/8/9,17070,17120,16940,16960,5384748
2019/8/13,16560,16630,16420,16540,5290476
2019/8/14,16940,16970,16760,16870,5455255
2019/8/15,16240,16500,16130,16470,8978060
2019/8/16,16350,16580,16310,16520,4876285
2019/8/19,16820,16850,16640,16750,3971984
2019/8/20,16820,16930,16770,16920,3824135
2019/8/21,16620,16850,16610,16840,3082106
2019/8/22,16980,17030,16770,16840,3472996
2019/8/23,16810,17000,16790,17000,3305322
2019/8/26,16170,16350,16130,16260,10987674
2019/8/27,16570,16670,16530,16530,5463346
2019/8/28,16580,16650,16510,16610,3239685
2019/8/29,16620,16660,16420,16560,4442424
2019/8/30,16910,17040,16860,17000,5789692
2019/9/2,16820,16920,16810,16840,3738200
2019/9/3,16770,16910,16770,16840,3543164
2019/9/4,16780,16960,16740,16910,4074890
2019/9/5,17110,17730,17110,17650,10093765
2019/9/6,17800,17860,17700,17760,5804921
2019/9/10,18080,18190,18040,18120,4302022
2019/9/11,18240,18500,18200,18450,6183403
2019/9/12,18780,18850,18710,18770,7424786
2019/9/13,18970,19180,18850,19170,7914469
2019/9/17,19070,19230,18950,19160,6163614
2019/9/18,19180,19220,19080,19110,4548525
2019/9/19,19290,19630,19170,19280,9886704
2019/9/20,19410,19520,19270,19280,5406900
2019/9/24,19320,19470,19300,19380,4373817
2019/9/25,19110,19220,18990,19190,6155316
2019/9/26,19470,19500,19160,19220,5772085
2019/9/27,19360,19380,18990,19200,7011348
2019/9/30,19010,19120,18860,18970,4902464
2019/10/1,19130,19330,19100,19260,4131286
2019/10/2,18960,19080,18940,19050,4404692
2019/10/3,18380,18430,18170,18280,8397880
2019/10/4,18270,18410,18170,18390,4318111
2019/10/7,18450,18500,18260,18310,3945185
2019/10/8,18520,18760,18490,18710,5009872
2019/10/9,18320,18470,18300,18450,4591269
2019/10/10,18450,18720,18220,18600,8242473
2019/10/11,18920,19070,18840,19030,6011749
