date,open,high,low,close,volume,
2018/3/22,18070,18450,18050,18450,6787466,18450
2018/3/23,17380,17430,16640,16750,17703514,16750
2018/3/26,16400,17000,16300,17000,11611727,17000
2018/3/27,17340,17890,17300,17870,13430994,17870
2018/3/28,17410,17720,17280,17720,11757970,17720
2018/3/29,18120,18170,17660,17910,9965729,17910
2018/3/30,18310,18550,18200,18440,8513811,18440
2018/4/2,18400,18700,18340,18340,7096008,18340
2018/4/3,17770,18240,17750,18150,8084219,18150
2018/4/4,18390,18400,18070,18210,8201263,18210
2018/4/5,18610,18940,18450,18790,9987111,18790
2018/4/6,18730,18950,18610,18680,11593458,18680
2018/4/9,18580,18940,18550,18840,6290987,18840
2018/4/10,18670,19270,18580,19030,10812049,19030
2018/4/11,19130,19140,18850,18850,6786851,18850
2018/4/12,18830,18890,18670,18800,5138415,18800
2018/4/13,19050,19230,18940,19010,7197192,19010
2018/4/16,19120,19180,18980,19110,5485215,19110
2018/4/17,19060,19190,18980,19130,4855930,19130
2018/4/18,19240,19720,19230,19680,8442428,19680
2018/4/19,19820,20010,19700,19720,7693904,19720
2018/4/20,19650,19850,19520,19680,5978701,19680
2018/4/23,19690,19750,19500,19550,4582464,19550
2018/4/24,19820,19900,19650,19890,5104657,19890
2018/4/25,19590,19790,19520,19790,7262104,19790
2018/4/26,19960,20060,19870,19950,6191755,19950
2018/4/27,20070,20250,20010,20230,6768261,20230
2018/5/1,20200,20310,20120,20290,3770270,20290
2018/5/2,20380,20380,20130,20190,4113409,20190
2018/5/7,20290,20300,19990,20210,4343942,20210
2018/5/8,20130,20380,20110,20280,4358747,20280
2018/5/9,20180,20230,20020,20110,5128124,20110
2018/5/10,20260,20320,20120,20260,3973518,20260
2018/5/11,20380,20760,20380,20760,6674455,20760
2018/5/14,20730,20950,20690,20920,4559431,20920
2018/5/15,20950,20990,20800,20820,3684314,20820
2018/5/16,20660,20780,20620,20660,3762253,20660
2018/5/17,20820,20930,20790,20880,3735524,20880
2018/5/18,21000,21060,20910,21010,4012885,21010
2018/5/21,21030,21240,21030,21160,4215444,21160
2018/5/22,21190,21200,21070,21080,2722814,21080
2018/5/23,20910,21060,20520,20580,7221197,20580
2018/5/24,20450,20500,20000,20130,7303416,20130
2018/5/25,19980,20260,19900,20170,5515586,20170
2018/5/28,20220,20320,20070,20200,2863321,20200
2018/5/29,20100,20130,19760,19960,4825225,19960
2018/5/30,19310,19490,19210,19370,7117136,19370
2018/5/31,19670,19780,19510,19720,4880294,19720
2018/6/1,19560,19910,19520,19620,5208644,19620
2018/6/4,20000,20250,19970,20180,4089995,20180
2018/6/5,20330,20400,20160,20280,3781767,20280
2018/6/6,20280,20500,20220,20460,3350909,20460
2018/6/7,20720,20860,20670,20800,4957625,20800
2018/6/8,20770,20910,20550,20550,4673689,20550
2018/6/11,20540,20840,20510,20790,3277461,20790
2018/6/12,21100,21130,20740,20930,8059838,20930
2018/6/13,20930,21090,20910,21060,3935509,21060
2018/6/14,20840,20940,20650,20650,4232503,20650
2018/6/15,20920,20930,20710,20870,4343472,20870
2018/6/18,20770,20780,20400,20530,4578967,20530
2018/6/19,20340,20430,19820,19830,7774425,19830
2018/6/20,19950,20350,19620,20300,7303730,20300
2018/6/21,20240,20710,20180,20570,7305235,20570
2018/6/22,20100,20260,20060,20260,5335562,20260
2018/6/25,20310,20320,19870,19910,5657893,19910
2018/6/26,19630,19980,19490,19950,6050810,19950
2018/6/27,19950,20000,19730,19840,4218212,19840
2018/6/28,19750,19890,19440,19850,7552926,19850
2018/6/29,19940,19950,19610,19900,4848987,19900
2018/7/2,19770,19920,18960,19000,8273322,19000
2018/7/3,19140,19220,18580,18950,9832324,18950
2018/7/4,18740,18950,18630,18840,4436520,18840
2018/7/5,18790,18880,18390,18560,6428154,18560
2018/7/6,18750,19100,18700,19000,7681746,19000
2018/7/9,19120,19500,19080,19400,4797033,19400
2018/7/10,19680,19880,19650,19700,5425511,19700
2018/7/11,19320,19390,18880,19180,9755745,19180
2018/7/12,19360,19720,19340,19650,5599290,19650
2018/7/13,20050,20530,20050,20390,8729434,20390
2018/7/17,20370,20800,20330,20550,5756378,20550
2018/7/18,20950,21000,20730,20750,5636397,20750
2018/7/19,20880,20950,20660,20700,5931380,20700
2018/7/20,20600,20870,20250,20550,8333880,20550
2018/7/23,20120,20200,19900,19970,6485765,19970
2018/7/24,20270,20280,20030,20200,4383399,20200
2018/7/25,20360,20450,20260,20380,4206294,20380
2018/7/26,20420,20440,20250,20330,4321565,20330
2018/7/27,20430,20540,20340,20540,4345888,20540
2018/7/30,20380,20430,20210,20270,4413739,20270
2018/7/31,20130,20520,19920,20290,7735159,20290
2018/8/1,20460,20660,20400,20630,5205716,20630
2018/8/2,20500,20640,20100,20160,6657354,20160
