Date,Open,High,Low,Close,Adj Close,Volume
2006/1/27,16079.94043,16460.67969,16079.91992,16460.67969,16460.67969,153900
2006/1/30,16615.91016,16754.59961,16538.7207,16551.23047,16551.23047,203400
2006/1/31,16603.90039,16718.78906,16561.31055,16649.82031,16649.82031,143200
2006/2/1,16594.90039,16671.91016,16480.08984,16480.08984,16480.08984,160300
2006/2/2,16632.59961,16736.17969,16611.5293,16710.55078,16710.55078,158600
2006/2/3,16596.21094,16665.09961,16567.86914,16659.64063,16659.64063,124900
2006/2/6,16736.23047,16777.36914,16578.18945,16747.75977,16747.75977,120200
2006/2/7,16768.16016,16769.36914,16681.03906,16720.99023,16720.99023,151500
2006/2/8,16609.96094,16682.91016,16272.67969,16272.67969,16272.67969,134400
2006/2/9,16444.74023,16540.49023,16351.42969,16439.66992,16439.66992,130700
2006/2/10,16525.5,16525.5,16090.92969,16257.83008,16257.83008,180300
2006/2/13,16191.92969,16191.92969,15877.66016,15877.66016,15877.66016,143800
2006/2/14,15845.19043,16184.87012,15691.86035,16184.87012,16184.87012,149100
2006/2/15,16302.94043,16312.74023,15932.83008,15932.83008,15932.83008,123300
2006/2/16,15901.37988,16109.2002,15842,16043.66992,16043.66992,116200
2006/2/17,16078.50977,16129.94043,15702.66992,15713.4502,15713.4502,121600
2006/2/20,15620.58008,15661.84961,15389.58008,15437.92969,15437.92969,128800
2006/2/21,15602.83008,15894.94043,15573.70996,15894.94043,15894.94043,126700
2006/2/22,15882.63965,15923,15679.91016,15781.78027,15781.78027,145700
2006/2/23,15908.87012,16096.09961,15892.50977,16096.09961,16096.09961,121300
2006/2/24,16034.66992,16118.11035,15947.04004,16101.91016,16101.91016,122900
2006/2/27,16156.15039,16290.15039,16123.29004,16192.9502,16192.9502,152600
2006/2/28,16218.62012,16229.67969,15953.32031,16205.42969,16205.42969,154400
2006/3/1,16026.82031,16053.29981,15910.65039,15964.45996,15964.45996,139300
2006/3/2,16068.75977,16106.25977,15879.70996,15909.75977,15909.75977,118200
2006/3/3,15835.42969,15897.29004,15658.63965,15663.33984,15663.33984,111200
2006/3/6,15668.62988,15901.16016,15609.79981,15901.16016,15901.16016,99900
2006/3/7,15864.57031,15864.57031,15678.12012,15726.01953,15726.01953,113100
2006/3/8,15657.79004,15720.65039,15553.13965,15627.49023,15627.49023,113400
2006/3/9,15645.29981,16049.61035,15645.29981,16036.91016,16036.91016,117800
2006/3/10,16007.41016,16264.88965,15982.01953,16115.62988,16115.62988,166700
2006/3/13,16264.58984,16379.46973,16242.16016,16361.50977,16361.50977,94700
2006/3/14,16401.10938,16410.28906,16238.36035,16238.36035,16238.36035,94600
2006/3/15,16342.51953,16367.75977,16291.76953,16319.04004,16319.04004,89700
2006/3/16,16354.70996,16356.49023,16032.54981,16096.20996,16096.20996,97400
2006/3/17,16172.74023,16339.73047,16106.37988,16339.73047,16339.73047,90600
2006/3/20,16299.34961,16667.13086,16299.34961,16624.80078,16624.80078,102200
2006/3/22,16578.5,16583.25,16477.25977,16495.48047,16495.48047,122700
2006/3/23,16605.48047,16661.14063,16464.4707,16489.36914,16489.36914,98900
2006/3/24,16501.5,16612.51953,16462.4707,16560.86914,16560.86914,80800
2006/3/27,16599.91992,16711.16016,16599.91992,16650.09961,16650.09961,92600
2006/3/28,16550.4707,16690.24023,16463.94922,16690.24023,16690.24023,95600
2006/3/29,16670.38086,16976.28906,16613.7207,16938.41016,16938.41016,109100
2006/3/30,17011.13086,17125.64063,16974.4707,17045.33984,17045.33984,140500
2006/3/31,17088.75977,17094.60938,16995.76953,17059.66016,17059.66016,100600
2006/4/3,17127.60938,17387.08008,17105.5,17333.31055,17333.31055,129600
2006/4/4,17295.58008,17410.30078,17266.39063,17292.91016,17292.91016,115400
2006/4/5,17340.14063,17464.53906,17187.34961,17243.98047,17243.98047,125800
2006/4/6,17365.57031,17489.33008,17347.00977,17489.33008,17489.33008,111400
2006/4/7,17498.88086,17563.36914,17418.93945,17563.36914,17563.36914,118000
2006/4/10,17455.0293,17489.60938,17385.25,17456.58008,17456.58008,103900
2006/4/11,17460.67969,17489.16016,17295.41992,17418.13086,17418.13086,111600
2006/4/12,17297.17969,17325.21094,17162,17162.55078,17162.55078,117500
2006/4/13,17232.2793,17303.26953,17068.96094,17199.15039,17199.15039,101200
2006/4/14,17319.33008,17319.33008,17149.08008,17233.82031,17233.82031,89500
2006/4/17,17233.73047,17233.73047,17000.35938,17000.35938,17000.35938,78300
2006/4/18,16971.75977,17268.05078,16945.30078,17232.85938,17232.85938,98400
2006/4/19,17405.91992,17459.24023,17350.11914,17350.11914,17350.11914,104500
2006/4/20,17391.93945,17412.58984,17283.9707,17317.5293,17317.5293,96200
2006/4/21,17332.34961,17479.73047,17258.49023,17403.96094,17403.96094,109000
2006/4/24,17245.61914,17245.61914,16892.15039,16914.40039,16914.40039,110600
2006/4/25,16929.35938,17000.19922,16787.43945,16970.28906,16970.28906,103400
2006/4/26,16993.23047,17107.92969,16944.53906,17055.92969,17055.92969,105100
2006/4/27,17118.91992,17176.06055,17094.7207,17114.53906,17114.53906,103600
2006/4/28,17039.36914,17043.66992,16750.5,16906.23047,16906.23047,112500
2006/5/1,16929.83008,16965.33008,16868.68945,16925.71094,16925.71094,79600
2006/5/2,16920.13086,17188.53906,16900.33008,17153.76953,17153.76953,89300
2006/5/8,17334.18945,17375.25,17248.58984,17291.66992,17291.66992,121000
2006/5/9,17253.81055,17294.5,17178.94922,17190.91016,17190.91016,116600
2006/5/10,17161.4707,17253.10938,16883.39063,16951.92969,16951.92969,127600
2006/5/11,16887.36914,17087,16840.84961,16862.14063,16862.14063,110100
2006/5/12,16655.98047,16655.98047,16422.49023,16601.7793,16601.7793,131700
2006/5/15,16395.88086,16486.91016,16317.2002,16486.91016,16486.91016,118700
2006/5/16,16508.89063,16596.48047,16116.73047,16158.41992,16158.41992,134500
